orderId,shouldCurId,movieName,rateValue(x/10),评价人数,短评数量,5星占比,4星占比,3星占比,2星占比,1星占比,description,额外信息
1,25845392,长津湖,7.4,766752,262862, 24.0%, 32.9%, 32.2%, 8.7%, 2.1%,"导演: 陈凯歌 / 徐克 / 林超贤
主演: 吴京 / 易烊千玺 / 段奕宏
类型: 剧情 / 历史 / 战争
制片国家/地区: 中国大陆/中国香港
年份: 2021","57.75"
2,26363254,战狼2,7.1,915493,310823, 22.4%, 32.5%, 29.9%, 9.3%, 6.0%,"导演: 吴京
主演: 吴京 / 弗兰克·格里罗 / 吴刚
类型: 动作 / 战争
制片国家/地区: 中国大陆
年份: 2017","56.94"
3,34841067,你好，李焕英,7.7,1450825,545339, 23.5%, 44.9%, 27.2%, 3.6%, 0.9%,"导演: 贾玲
主演: 贾玲 / 张小斐 / 沈腾
类型: 剧情 / 喜剧 / 奇幻
制片国家/地区: 中国大陆
年份: 2021","54.12"
4,26794435,哪吒之魔童降世,8.4,1848906,628053, 42.3%, 39.1%, 15.6%, 2.2%, 0.8%,"导演: 饺子
主演: 吕艳婷 / 囧森瑟夫 / 瀚墨
类型: 剧情 / 喜剧 / 动画 / 奇幻
制片国家/地区: 中国大陆
年份: 2019","50.35"
5,26266893,流浪地球,7.9,1953433,724894, 34.6%, 36.3%, 21.7%, 4.9%, 2.6%,"导演: 郭帆
主演: 吴京 / 屈楚萧 / 李光洁
类型: 科幻 / 冒险 / 灾难
制片国家/地区: 中国大陆
年份: 2019","46.86"
6,35766491,满江红,7,1068352,428532, 16.5%, 35.8%, 32.9%, 9.1%, 5.6%,"导演: 张艺谋
主演: 沈腾 / 易烊千玺 / 张译
类型: 剧情 / 喜剧 / 悬疑 / 古装
制片国家/地区: 中国大陆
年份: 2023","45.44"
7,27619748,唐人街探案3,5.3,1074122,479672, 3.6%, 12.4%, 41.2%, 29.6%, 13.2%,"导演: 陈思诚
主演: 王宝强 / 刘昊然 / 妻夫木聪
类型: 喜剧 / 悬疑
制片国家/地区: 中国大陆/中国香港/日本
年份: 2021","45.23"
8,26100958,复仇者联盟4：终局之战 Avengers: Endgame,8.5,1088381,323175, 46.2%, 35.2%, 15.6%, 2.0%, 0.9%,"导演: 安东尼·罗素 / 乔·罗素
主演: 小罗伯特·唐尼 / 克里斯·埃文斯 / 马克·鲁弗洛
类型: 剧情 / 动作 / 科幻 / 奇幻 / 冒险
制片国家/地区: 美国
年份: 2019","42.5"
9,35613853,长津湖之水门桥,7.2,369014,114773, 21.6%, 34.6%, 29.2%, 9.1%, 5.5%,"导演: 徐克
主演: 吴京 / 易烊千玺 / 朱亚文
类型: 剧情 / 历史 / 战争
制片国家/地区: 中国大陆/中国香港
年份: 2022","40.67"
10,35267208,流浪地球2,8.3,1276941,534813, 43.9%, 34.3%, 16.6%, 3.6%, 1.6%,"导演: 郭帆
主演: 吴京 / 刘德华 / 李雪健
类型: 科幻 / 冒险 / 灾难
制片国家/地区: 中国大陆
年份: 2023","40.29"
