orderId,movieCode,movieName,rateValue(x/10),评价人数,短评数量,5星占比,4星占比,3星占比,2星占比,1星占比,description,额外信息
0,34973399,你的婚礼,4.7,186776,80360, 2.3%, 7.3%, 31.9%, 38.2%, 20.3%,"导演: 韩天
主演: 许光汉 / 章若楠 / 丁冠森
类型: 爱情
制片国家/地区: 中国大陆
年份: 2021","0"
0,27202819,反贪风暴4 P風暴,5.9,169684,46544, 3.6%, 16.8%, 53.6%, 21.9%, 4.0%,"导演: 林德禄
主演: 古天乐 / 郑嘉颖 / 林峯
类型: 动作 / 犯罪
制片国家/地区: 中国香港/中国大陆
年份: 2019","0"
0,27110296,无名之辈,8,1032984,282779, 28.5%, 47.6%, 20.6%, 2.7%, 0.5%,"导演: 饶晓志
主演: 陈建斌 / 任素汐 / 潘斌龙
类型: 剧情 / 喜剧
制片国家/地区: 中国大陆
年份: 2018","0"
0,26280528,从你的全世界路过,5.3,349547,112042, 6.4%, 14.0%, 35.9%, 27.9%, 15.8%,"导演: 张一白
主演: 邓超 / 白百何 / 杨洋
类型: 喜剧 / 爱情
制片国家/地区: 中国大陆
年份: 2016","0"
0,26311973,唐人街探案,7.7,865702,202657, 20.9%, 49.6%, 25.5%, 3.0%, 1.0%,"导演: 陈思诚
主演: 王宝强 / 刘昊然 / 佟丽娅
类型: 喜剧 / 动作 / 悬疑
制片国家/地区: 中国大陆
年份: 2015","0"
0,30128916,夺冠,7.1,443089,145928, 12.3%, 39.2%, 40.8%, 6.6%, 1.1%,"导演: 陈可辛
主演: 巩俐 / 黄渤 / 吴刚
类型: 剧情 / 运动
制片国家/地区: 中国大陆
年份: 2020","0"
0,35209731,长空之王,6.5,301760,166015, 15.8%, 24.3%, 39.0%, 12.5%, 8.4%,"导演: 刘晓世
主演: 王一博 / 胡军 / 周冬雨
类型: 剧情 / 动作
制片国家/地区: 中国大陆
年份: 2023","0"
0,35158160,我的姐姐,6.9,374300,151543, 8.5%, 39.5%, 42.4%, 7.5%, 2.1%,"导演: 殷若昕
主演: 张子枫 / 肖央 / 朱媛媛
类型: 剧情 / 家庭
制片国家/地区: 中国大陆
年份: 2021","0"
0,34869362,温暖的抱抱,5.2,191391,70499, 4.5%, 10.9%, 38.5%, 32.1%, 14.1%,"导演: 常远
主演: 常远 / 李沁 / 沈腾
类型: 喜剧
制片国家/地区: 中国大陆
年份: 2020","0"
0,35496350,志愿军：雄兵出击,6.9,132472,50889, 16.1%, 32.9%, 36.8%, 9.1%, 5.1%,"导演: 陈凯歌
主演: 唐国强 / 王砚辉 / 刘劲
类型: 剧情 / 历史 / 战争
制片国家/地区: 中国大陆
年份: 2023","0"
0,30282387,银河补习班,6.2,372787,125766, 10.4%, 22.9%, 41.0%, 19.8%, 5.9%,"导演: 邓超 / 俞白眉
主演: 邓超 / 白宇 / 任素汐
类型: 剧情
制片国家/地区: 中国大陆
年份: 2019","0"
0,4212172,十二生肖,6.8,365825,75288, 10.8%, 31.1%, 47.2%, 9.2%, 1.8%,"导演: 成龙
主演: 成龙 / 权相宇 / 廖凡
类型: 喜剧 / 动作 / 冒险
制片国家/地区: 中国大陆/中国香港
年份: 2012","0"
0,10807909,智取威虎山,7.7,399624,108820, 19.7%, 50.7%, 26.1%, 2.7%, 0.8%,"导演: 徐克
主演: 张涵予 / 梁家辉 / 林更新
类型: 剧情 / 动作 / 战争 / 冒险
制片国家/地区: 中国大陆/中国香港
年份: 2014","0"
0,24529353,绝地逃亡 Skiptrace,5.7,96983,29807, 6.1%, 14.1%, 47.5%, 24.8%, 7.5%,"导演: 雷尼·哈林
主演: 成龙 / 范冰冰 / 约翰尼·诺克斯维尔
类型: 喜剧 / 动作
制片国家/地区: 中国大陆/美国/中国香港
年份: 2016","0"
0,27133303,超时空同居,6.8,524006,149514, 7.9%, 34.1%, 48.6%, 8.1%, 1.1%,"导演: 苏伦
主演: 雷佳音 / 佟丽娅 / 张衣
类型: 喜剧 / 爱情 / 奇幻
制片国家/地区: 中国大陆
年份: 2018","0"
0,24751756,老炮儿,7.5,780568,206213, 21.9%, 40.0%, 30.6%, 5.2%, 2.4%,"导演: 管虎
主演: 冯小刚 / 许晴 / 张涵予
类型: 剧情 / 犯罪
制片国家/地区: 中国大陆
年份: 2015","0"
0,35556001,热烈,7.2,241687,129826, 20.2%, 35.4%, 33.8%, 6.9%, 3.7%,"导演: 大鹏
主演: 黄渤 / 王一博 / 刘敏涛
类型: 剧情 / 喜剧
制片国家/地区: 中国大陆
年份: 2023","0"
0,26649682,深海,7.2,456298,213850, 21.4%, 34.2%, 32.2%, 9.2%, 3.0%,"导演: 田晓鹏
主演: 苏鑫 / 王亭文 / 滕奎兴
类型: 动画 / 奇幻
制片国家/地区: 中国大陆
年份: 2023","0"
0,35422807,扬名立万,7.4,769308,245979, 13.6%, 48.8%, 31.4%, 5.2%, 1.0%,"导演: 刘循子墨
主演: 尹正 / 邓家佳 / 喻恩泰
类型: 剧情 / 喜剧 / 悬疑
制片国家/地区: 中国大陆
年份: 2021","0"
0,35372742,无名,6.6,733399,357788, 13.8%, 27.1%, 38.5%, 13.9%, 6.6%,"导演: 程耳
主演: 梁朝伟 / 王一博 / 周迅
类型: 剧情 / 历史 / 悬疑
制片国家/地区: 中国大陆
年份: 2023","0"
0,35307456,穿过寒冬拥抱你,5.5,121515,55443, 5.1%, 13.4%, 43.3%, 26.9%, 11.2%,"导演: 薛晓路
主演: 黄渤 / 贾玲 / 朱一龙
类型: 剧情 / 爱情
制片国家/地区: 中国大陆
年份: 2021","0"
0,35725869,年会不能停！,8.2,603703,247376, 31.9%, 47.6%, 18.0%, 1.9%, 0.5%,"导演: 董润年
主演: 大鹏 / 白客 / 庄达菲
类型: 剧情 / 喜剧
制片国家/地区: 中国大陆
年份: 2023","0"
0,27624661,比悲伤更悲伤的故事 比悲傷更悲傷的故事,4.8,171330,69186, 4.9%, 9.8%, 30.7%, 30.8%, 23.8%,"导演: 林孝谦
主演: 陈意涵 / 刘以豪 / 张书豪
类型: 爱情
制片国家/地区: 中国台湾
年份: 2018","0"
0,26277313,西游记之大圣归来,8.3,694513,217641, 38.0%, 42.6%, 16.7%, 2.0%, 0.7%,"导演: 田晓鹏
主演: 张磊 / 林子杰 / 吴文伦
类型: 剧情 / 动画 / 奇幻
制片国家/地区: 中国大陆
年份: 2015","0"
0,35377026,熊出没·重返地球,6.5,34211,15473, 7.8%, 25.0%, 52.6%, 12.3%, 2.3%,"导演: 林汇达
主演: 张秉君 / 张伟 / 谭笑
类型: 儿童 / 喜剧 / 动画
制片国家/地区: 中国大陆
年份: 2022","0"
0,25858785,澳门风云2 賭城風雲II,5.6,173097,39278, 6.0%, 14.1%, 43.6%, 25.9%, 10.4%,"导演: 王晶 / 张敏
主演: 周润发 / 张家辉 / 刘嘉玲
类型: 喜剧 / 动作
制片国家/地区: 中国香港/中国大陆
年份: 2015","0"
0,24827387,盗墓笔记,4.8,182176,85499, 7.0%, 9.4%, 27.1%, 29.0%, 27.4%,"导演: 李仁港
主演: 井柏然 / 鹿晗 / 马思纯
类型: 悬疑 / 奇幻 / 冒险
制片国家/地区: 中国大陆
年份: 2016","0"
0,35358443,前任4：英年早婚,5.6,129426,52400, 4.9%, 15.8%, 42.1%, 26.5%, 10.7%,"导演: 田羽生
主演: 韩庚 / 郑恺 / 于文文
类型: 喜剧 / 爱情
制片国家/地区: 中国大陆
年份: 2023","0"
0,26826330,刺杀小说家,6.5,658510,270163, 6.6%, 31.7%, 45.2%, 13.3%, 3.2%,"导演: 路阳
主演: 雷佳音 / 杨幂 / 董子健
类型: 动作 / 奇幻 / 冒险
制片国家/地区: 中国大陆
年份: 2021","0"
0,5317291,西游记之大闹天宫,4.4,144414,50508, 2.9%, 5.5%, 27.1%, 35.1%, 29.3%,"导演: 郑保瑞
主演: 甄子丹 / 周润发 / 郭富城
类型: 动作 / 奇幻
制片国家/地区: 中国大陆/中国香港
年份: 2014","0"
