orderId,shouldCurId,movieName,rateValue(x/10),ratePersonCount(评价人数),description,boxOffice(票房，万美元)
1,1652587,阿凡达 Avatar,8.8,1460416,"导演: 詹姆斯·卡梅隆
主演: 萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国
年份: 2009",29237
2,26100958,复仇者联盟4：终局之战 Avengers: Endgame,8.5,1088382,"导演: 安东尼·罗素 / 乔·罗素
主演: 小罗伯特·唐尼 / 克里斯·埃文斯 / 马克·鲁弗洛
类型: 剧情 / 动作 / 科幻 / 奇幻 / 冒险
制片国家/地区: 美国
年份: 2019",27975
3,4811774,阿凡达：水之道 Avatar: The Way of Water,7.8,585140,"导演: 詹姆斯·卡梅隆
主演: 萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国
年份: 2022",23202
4,1292722,泰坦尼克号 Titanic,9.5,2261501,"导演: 詹姆斯·卡梅隆
主演: 莱昂纳多·迪卡普里奥 / 凯特·温丝莱特 / 比利·赞恩
类型: 剧情 / 爱情 / 灾难
制片国家/地区: 美国/墨西哥
年份: 1997",22613
5,20326665,星球大战7：原力觉醒 Star Wars: The Force Awakens,7.2,219854,"导演: J·J·艾布拉姆斯
主演: 哈里森·福特 / 马克·哈米尔 / 凯丽·费雪
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国
年份: 2015",20695
6,24773958,复仇者联盟3：无限战争 Avengers: Infinity War,8.1,787437,"导演: 安东尼·罗素 / 乔·罗素
主演: 小罗伯特·唐尼 / 克里斯·海姆斯沃斯 / 克里斯·埃文斯
类型: 动作 / 科幻 / 奇幻 / 冒险
制片国家/地区: 美国
年份: 2018",20524
7,26933210,蜘蛛侠：英雄无归 Spider-Man: No Way Home,6.6,345263,"导演: 乔·沃茨
主演: 汤姆·赫兰德 / 赞达亚 / 本尼迪克特·康伯巴奇
类型: 动作 / 科幻 / 奇幻 / 冒险
制片国家/地区: 美国
年份: 2021",19218
8,10440138,侏罗纪世界 Jurassic World,7.8,435507,"导演: 科林·特莱沃若
主演: 克里斯·帕拉特 / 布莱丝·达拉斯·霍华德 / 文森特·多诺费奥
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国
年份: 2015",1671.7
9,26884354,狮子王 The Lion King,7.2,362469,"导演: 乔恩·费儒
主演: 唐纳德·格洛弗 / 阿尔法·伍达德 / 詹姆斯·厄尔·琼斯
类型: 剧情 / 动画 / 冒险
制片国家/地区: 美国
年份: 2019",16632
10,1866479,复仇者联盟 The Avengers,8.3,666032,"导演: 乔斯·韦登
主演: 小罗伯特·唐尼 / 克里斯·埃文斯 / 斯嘉丽·约翰逊
类型: 动作 / 科幻 / 奇幻 / 冒险
制片国家/地区: 美国
年份: 2012",1518.8
