orderId,shouldCurId,movieName,rateValue,ratePersonCount,description,boxOffice
1,26,阿凡达 Avatar,8.8,1434163,"导演: 詹姆斯·卡梅隆
主演: 萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国
年份: 2009",29237
2,27,复仇者联盟4：终局之战 Avengers: Endgame,8.5,1074937,"导演: 安东尼·罗素 / 乔·罗素
主演: 小罗伯特·唐尼 / 克里斯·埃文斯 / 马克·鲁弗洛
类型: 剧情 / 动作 / 科幻 / 奇幻 / 冒险
制片国家/地区: 美国
年份: 2019",27975
3,28,阿凡达：水之道 Avatar: The Way of Water,7.8,557866,"导演: 詹姆斯·卡梅隆
主演: 萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国
年份: 2022",23202
4,29,泰坦尼克号 Titanic,9.5,2216242,"导演: 詹姆斯·卡梅隆
主演: 莱昂纳多·迪卡普里奥 / 凯特·温丝莱特 / 比利·赞恩
类型: 剧情 / 爱情 / 灾难
制片国家/地区: 美国/墨西哥
年份: 1997",22613
5,30,星球大战7：原力觉醒 Star Wars: The Force Awakens,7.2,217887,"导演: J·J·艾布拉姆斯
主演: 哈里森·福特 / 马克·哈米尔 / 凯丽·费雪
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国
年份: 2015",20695
6,31,复仇者联盟3：无限战争 Avengers: Infinity War,8.1,779912,"导演: 安东尼·罗素 / 乔·罗素
主演: 小罗伯特·唐尼 / 克里斯·海姆斯沃斯 / 克里斯·埃文斯
类型: 动作 / 科幻 / 奇幻 / 冒险
制片国家/地区: 美国
年份: 2018",20524
7,32,蜘蛛侠：英雄无归 Spider-Man: No Way Home,6.6,338299,"导演: 乔·沃茨
主演: 汤姆·赫兰德 / 赞达亚 / 本尼迪克特·康伯巴奇
类型: 动作 / 科幻 / 奇幻 / 冒险
制片国家/地区: 美国
年份: 2021",19218
8,33,侏罗纪世界 Jurassic World,7.7,430433,"导演: 科林·特莱沃若
主演: 克里斯·帕拉特 / 布莱丝·达拉斯·霍华德 / 文森特·多诺费奥
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国
年份: 2015",1671.7
9,34,狮子王 The Lion King,7.2,358225,"导演: 乔恩·费儒
主演: 唐纳德·格洛弗 / 阿尔法·伍达德 / 詹姆斯·厄尔·琼斯
类型: 剧情 / 动画 / 冒险
制片国家/地区: 美国
年份: 2019",16632
10,35,复仇者联盟 The Avengers,8.3,657814,"导演: 乔斯·韦登
主演: 小罗伯特·唐尼 / 克里斯·埃文斯 / 斯嘉丽·约翰逊
类型: 动作 / 科幻 / 奇幻 / 冒险
制片国家/地区: 美国
年份: 2012",1518.8
11,36,速度与激情7 Furious 7,8.4,478729,"导演: 温子仁
主演: 范·迪塞尔 / 保罗·沃克 / 杰森·斯坦森
类型: 动作 / 犯罪
制片国家/地区: 美国/中国大陆/日本
年份: 2015",15153
12,37,壮志凌云2：独行侠 Top Gun: Maverick,8,164873,"导演: 约瑟夫·科辛斯基
主演: 汤姆·克鲁斯 / 詹妮弗·康纳利 / 迈尔斯·特勒
类型: 动作
制片国家/地区: 美国/中国大陆
年份: 2022",14934
13,38,冰雪奇缘2 Frozen II,7,385815,"导演: 克里斯·巴克 / 珍妮弗·李
主演: 克里斯汀·贝尔 / 伊迪娜·门泽尔 / 乔什·加德
类型: 喜剧 / 动画 / 冒险 / 歌舞
制片国家/地区: 美国
年份: 2019",14500
14,39,复仇者联盟2：奥创纪元 Avengers: Age of Ultron,7.5,504788,"导演: 乔斯·韦登
主演: 小罗伯特·唐尼 / 克里斯·海姆斯沃斯 / 马克·鲁弗洛
类型: 动作 / 科幻 / 奇幻 / 冒险
制片国家/地区: 美国
年份: 2015",14028
15,40,超级马力欧兄弟大电影 The Super Mario Bros. Movie,7.8,132252,"导演: 亚伦·霍瓦斯 / 迈克尔·杰勒尼克
主演: 克里斯·帕拉特 / 安雅·泰勒-乔伊 / 查理·戴
类型: 喜剧 / 爱情 / 科幻 / 动画 / 奇幻 / 冒险
制片国家/地区: 美国/日本
年份: 2023",13596
16,41,黑豹 Black Panther,6.5,449780,"导演: 瑞恩·库格勒
主演: 查德维克·博斯曼 / 露皮塔·尼永奥 / 迈克尔·B·乔丹
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国/南非
年份: 2018",13499
17,42,芭比 Barbie,8.1,541935,"导演: 格蕾塔·葛韦格
主演: 玛格特·罗比 / 瑞恩·高斯林 / 亚美莉卡·费雷拉
类型: 喜剧 / 奇幻 / 冒险
制片国家/地区: 加拿大/美国
年份: 2023",13451
18,43,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,9,841893,"导演: 大卫·叶茨
主演: 丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特
类型: 奇幻 / 冒险
制片国家/地区: 美国/英国
年份: 2011",13423
19,44,星球大战8：最后的绝地武士 Star Wars: The Last Jedi,7.1,152979,"导演: 莱恩·约翰逊
主演: 马克·哈米尔 / 凯丽·费雪 / 黛西·雷德利
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国
年份: 2017",1332.5
20,45,侏罗纪世界2 Jurassic World: Fallen Kingdom,6.6,379161,"导演: J·A·巴亚纳
主演: 克里斯·帕拉特 / 布莱丝·达拉斯·霍华德 / 贾斯蒂斯·史密斯
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国
年份: 2018",13104
21,46,冰雪奇缘 Frozen,8.4,707006,"导演: 克里斯·巴克 / 珍妮弗·李
主演: 克里斯汀·贝尔 / 伊迪娜·门泽尔 / 乔纳森·格罗夫
类型: 喜剧 / 动画 / 奇幻 / 歌舞
制片国家/地区: 美国
年份: 2013",12845
22,47,美女与野兽 Beauty and the Beast,7.1,401027,"导演: 比尔·康顿
主演: 艾玛·沃森 / 丹·史蒂文斯 / 卢克·伊万斯
类型: 爱情 / 奇幻 / 歌舞
制片国家/地区: 美国
年份: 2017",12735
23,48,超人总动员2 Incredibles 2,7.8,265774,"导演: 布拉德·伯德
主演: 格雷格·T·尼尔森 / 霍利·亨特 / 莎拉·沃威尔
类型: 喜剧 / 动作 / 动画 / 冒险
制片国家/地区: 美国
年份: 2018",12430
24,49,速度与激情8 The Fate of the Furious,7,340614,"导演: F·加里·格雷
主演: 范·迪塞尔 / 杰森·斯坦森 / 道恩·强森
类型: 动作 / 犯罪
制片国家/地区: 中国大陆/美国/日本
年份: 2017",1236
25,50,钢铁侠3 Iron Man 3,7.9,426548,"导演: 沙恩·布莱克
主演: 小罗伯特·唐尼 / 盖·皮尔斯 / 格温妮斯·帕特洛
类型: 动作 / 科幻
制片国家/地区: 美国/中国大陆
年份: 2013",1214.8
26,51,小黄人大眼萌 Minions,7.8,299976,"导演: 凯尔·巴尔达 / 皮埃尔·柯芬
主演: 桑德拉·布洛克 / 乔恩·哈姆 / 迈克尔·基顿
类型: 喜剧 / 动画
制片国家/地区: 美国
年份: 2015",1159.4
27,52,美国队长3 Captain America: Civil War,7.9,460262,"导演: 安东尼·罗素 / 乔·罗素
主演: 克里斯·埃文斯 / 小罗伯特·唐尼 / 斯嘉丽·约翰逊
类型: 动作 / 科幻
制片国家/地区: 美国
年份: 2016",1153.3
28,53,海王 Aquaman,7.6,875638,"导演: 温子仁
主演: 杰森·莫玛 / 安珀·赫德 / 威廉·达福
类型: 动作 / 奇幻 / 冒险
制片国家/地区: 美国/澳大利亚
年份: 2018",1148.1
29,54,指环王3：王者无敌 The Lord of the Rings: The Return of the King,9.3,812189,"导演: 彼得·杰克逊
主演: 伊利亚·伍德 / 西恩·奥斯汀 / 维果·莫腾森
类型: 剧情 / 动作 / 奇幻 / 冒险
制片国家/地区: 美国/新西兰
年份: 2003",11422
30,55,蜘蛛侠：英雄远征 Spider-Man: Far from Home,7.6,595799,"导演: 乔·沃茨
主演: 汤姆·赫兰德 / 赞达亚 / 杰克·吉伦哈尔
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国
年份: 2019",11319
31,56,惊奇队长 Captain Marvel,6.8,501851,"导演: 安娜·波顿 / 瑞安·弗雷克
主演: 布丽·拉尔森 / 裘德·洛 / 塞缪尔·杰克逊
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国/澳大利亚
年份: 2019",1128.2
32,57,变形金刚3 Transformers: Dark of the Moon,7.3,349661,"导演: 迈克尔·贝
主演: 希亚·拉博夫 / 罗茜·汉丁顿-惠特莉 / 乔什·杜哈明
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国
年份: 2011",1123.8
33,58,侏罗纪公园 Jurassic Park,8.3,319981,"导演: 史蒂文·斯皮尔伯格
主演: 山姆·尼尔 / 劳拉·邓恩 / 杰夫·高布伦
类型: 科幻 / 惊悚 / 冒险
制片国家/地区: 美国
年份: 1993",11098
34,59,007：大破天幕杀机 Skyfall,7.2,255058,"导演: 萨姆·门德斯
主演: 丹尼尔·克雷格 / 朱迪·丹奇 / 哈维尔·巴登
类型: 动作 / 惊悚 / 冒险
制片国家/地区: 英国/美国/土耳其
年份: 2012",1108.6
35,60,变形金刚4：绝迹重生 Transformers: Age of Extinction,6.7,331750,"导演: 迈克尔·贝
主演: 马克·沃尔伯格 / 斯坦利·图齐 / 凯尔希·格兰莫
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国/中国大陆/中国香港
年份: 2014",1104.1
36,61,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,8.8,730402,"导演: 克里斯托弗·诺兰
主演: 克里斯蒂安·贝尔 / 汤姆·哈迪 / 安妮·海瑟薇
类型: 剧情 / 动作 / 科幻 / 犯罪 / 惊悚
制片国家/地区: 美国/英国
年份: 2012",10810
37,62,小丑 Joker,8.7,1015687,"导演: 托德·菲利普斯
主演: 华金·菲尼克斯 / 罗伯特·德尼罗 / 马克·马龙
类型: 剧情 / 犯罪 / 惊悚
制片国家/地区: 美国/加拿大
年份: 2019",10744
38,63,星球大战9：天行者崛起 Star Wars: The Rise of Skywalker,6.2,101950,"导演: J·J·艾布拉姆斯
主演: 黛西·雷德利 / 亚当·德赖弗 / 奥斯卡·伊萨克
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国
年份: 2019",10741
39,64,玩具总动员4 Toy Story 4,8.5,336851,"导演: 乔什·库雷
主演: 汤姆·汉克斯 / 蒂姆·艾伦 / 安妮·波茨
类型: 喜剧 / 动画 / 奇幻
制片国家/地区: 美国
年份: 2019",10733
40,65,玩具总动员3 Toy Story 3,8.9,523543,"导演: 李·昂克里奇
主演: 汤姆·汉克斯 / 蒂姆·艾伦 / 琼·库萨克
类型: 喜剧 / 动画 / 奇幻 / 冒险
制片国家/地区: 美国
年份: 2010",1067
41,66,加勒比海盗2：亡灵的宝藏 Pirates of the Caribbean: Dead Man's Chest,8.4,423958,"导演: 戈尔·维宾斯基
主演: 约翰尼·德普 / 奥兰多·布鲁姆 / 凯拉·奈特莉
类型: 动作 / 冒险 / 奇幻
制片国家/地区: 美国
年份: 2006",1066.2
42,67,星球大战外传：侠盗一号 Rogue One: A Star Wars Story,7.3,178353,"导演: 加里斯·爱德华斯
主演: 菲丽希缇·琼斯 / 迭戈·卢纳 / 甄子丹
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国
年份: 2016",1056.1
