orderId,上映时间,影片名,导演,票房（万元）
1,2021,长津湖（7.6）,陈凯歌 *,577524
2,2017,战狼2（7.1）,吴京,569456
3,2021,你好，李焕英（8.1）,贾玲,541372
4,2019,哪吒之魔童降世（8.5）,饺子,503557
5,2019,流浪地球（7.9）,郭帆,468814
6,2023,满江红（7.8）,张艺谋,454437
7,2021,唐人街探案3（5.6）,陈思诚,452392
9,2022,长津湖之水门桥（7.2）,徐克,406724
10,2023,流浪地球2（8.2）,郭帆,402869
11,2023,孤注一掷（6.9）,申奥,384848
12,2018,红海行动（8.5）,林超贤,365185
13,2023,消失的她（6.8）,崔睿*,352396
14,2018,唐人街探案2（7.1）,陈思诚,339769
15,2016,美人鱼（6.8）,周星驰,339211
16,2019,我和我的祖国（8.0）,陈凯歌 *,317118
17,2022,独行月球（7.0）,张吃鱼,310291
18,2018,我不是药神（9.0）,文牧野,309712
19,2020,八佰（7.8）,管虎,309448
20,2019,中国机长（7.0）,刘伟强,291284
21,2020,我和我的家乡（7.4）,宁浩 *,282944
23,2023,封神第一部（7.8）,乌尔善,263411
24,2022,这个杀手不太冷静（6.7）,邢文雄,262262
25,2015,捉妖记（6.8）,许诚毅,243654
28,2018,捉妖记2（5.2）,许诚毅,223665
29,2023,八角笼中（7.5）,王宝强,220739
30,2016,羞羞的铁拳（7.3）,宋阳 *,220174
31,2019,疯狂的外星人（6.4）,宁浩,219197
34,2018,前任3：再见前任（5.8）,田羽生,194049
36,2023,长安三万里（8.2）,谢君伟*,182436
37,2018,飞驰人生（8.5）,林超贤,171674
39,2022,人生大事（7.3）,刘江江,171231
42,2019,烈火英雄（6.5）,陈国辉,169131
43,2015,寻龙诀（7.4）,乌尔善,168214
44,2017,西游伏妖篇（5.5）,徐克,165692
45,2015,港囧（5.7）,徐峥,161224
46,2020,姜子牙（7.0）,程腾 *,160017
47,2022,万里归途（7.4）,饶晓志,159314
48,2019,少年的你（8.3）,曾国祥,155552
51,2023,熊出没·伴我“熊芯”（7.0）,林永长*,149515
52,2021,我和我的父辈（7.0）,吴京 *,147717
