orderId,上映时间,影片名,导演,票房（万元）
1,2021,长津湖（7.6）,陈凯歌 *,577524
2,2017,战狼2（7.1）,吴京,569456
3,2021,你好，李焕英（8.1）,贾玲,541372
4,2019,哪吒之魔童降世（8.5）,饺子,503557
5,2019,流浪地球（7.9）,郭帆,468814
6,2023,满江红（7.8）,张艺谋,454437
7,2021,唐人街探案3（5.6）,陈思诚,452392
8,2019,复仇者联盟4：终局之战（8.5）,安东尼·罗素 *,424889
9,2022,长津湖之水门桥（7.2）,徐克,406724
10,2023,流浪地球2（8.2）,郭帆,402869
11,2023,孤注一掷（6.9）,申奥,384848
12,2018,红海行动（8.5）,林超贤,365185
13,2023,消失的她（6.8）,崔睿*,352396
14,2018,唐人街探案2（7.1）,陈思诚,339769
15,2016,美人鱼（6.8）,周星驰,339211
16,2019,我和我的祖国（8.0）,陈凯歌 *,317118
17,2022,独行月球（7.0）,张吃鱼,310291
18,2018,我不是药神（9.0）,文牧野,309712
19,2020,八佰（7.8）,管虎,309448
20,2019,中国机长（7.0）,刘伟强,291284
21,2020,我和我的家乡（7.4）,宁浩 *,282944
22,2017,速度与激情8（7.1）,F·加里·格雷,266869
23,2023,封神第一部（7.8）,乌尔善,263411
24,2022,这个杀手不太冷静（6.7）,邢文雄,262262
25,2015,捉妖记（6.8）,许诚毅,243654
26,2015,速度与激情7（8.3）,温子仁,242657
27,2018,复仇者联盟3：无限战争（8.4）,安东尼·罗素 *,239041
28,2018,捉妖记2（5.2）,许诚毅,223665
29,2023,八角笼中（7.5）,王宝强,220739
30,2016,羞羞的铁拳（7.3）,宋阳 *,220174
31,2019,疯狂的外星人（6.4）,宁浩,219197
32,2018,海王（8.2）,温子仁,201231
33,2014,变形金刚4：绝迹重生（6.5）,迈克尔·贝,197895
34,2018,前任3：再见前任（5.8）,田羽生,194049
35,2018,毒液：致命守护者（7.2）,鲁本·弗雷斯彻,187065
36,2023,长安三万里（8.2）,谢君伟*,182436
37,2018,飞驰人生（8.5）,林超贤,171674
38,2009,阿凡达（8.7）,詹姆斯·卡梅隆,171545
39,2022,人生大事（7.3）,刘江江,171231
